route_id,priority,review_action,route_theme,intent,city_category,map_morphology_class,scene_category,operation_tags,diversity_role,start_id,start_name,start_xyz,via_ids,via_names,endpoint_id,endpoint_name,endpoint_xyz,prompt_zh,static_probe_status,static_probe_length_blocks,static_probe_waypoint_count,static_probe_notes,manual_review_goal
SLR76-001,1,try_first,school_long_estate_walk,student_to_school,dense_hong_kong_hillside_public_estate,multilevel_estate_walkway_to_institution,education,ordinary_walk|junction_choice|level_change|stairs_or_slope|covered_walkway_candidate|no_vehicle,Covers Shun Lee hillside estate school route; does not satisfy cross-map natural/countryside diversity.,SL76-050,第3座 Block 3,"-267,10,-661",SL76-070|SL76-068|SL76-035,corridor_service_lane way/1075072171|新清水灣道 New Clear Water Bay Road|school_estate_walk way/120978735,SL76-030,滙基書院（東九龍） United Christian College (Kowloon East),"-135,-2,-599",你是住在顺利邨的学生。请从第3座出发，沿屋邨步行系统走到滙基書院（東九龍）入口或校门边界。,certified_static_reference,358.1,103,Static clean-v3 path found; endpoint/name still needs human pass.,Confirm school entrance/edge and whether the long detour is visually natural.
SLR76-002,2,try_first,shopping_short_estate_errand,resident_daily_errand,dense_hong_kong_hillside_public_estate,estate_podium_or_local_commercial_node,shopping_daily_errand,ordinary_walk|short_route|junction_choice|podium_or_internal_estate_path|no_vehicle,Strong daily-life scene coverage inside one urban estate map.,SL76-048,第1座 Block 1,"-265,10,-612",SL76-070,corridor_service_lane way/1075072171,SL76-062,利安商場 Lee On Shopping Centre,"-223,10,-634",你是顺利邨居民。请从第1座出发，走到利安商场入口或商场边界办理日常事务。,certified_static_reference,56.8,19,Short static clean-v3 path found; strong daily-life endpoint if the mall facade/entrance is visible.,Confirm mall endpoint is visible enough and not only an OSM center point.
SLR76-003,3,try_first,school_to_service_corridor,student_or_worker_corridor,dense_hong_kong_hillside_public_estate,school_edge_to_service_lane,facilities_service_access,ordinary_walk|short_route|junction_choice|street_edge|service_lane|no_vehicle,Adds service/corridor operation variety but endpoint is generic and low semantic strength.,SL76-028,基順小學 Kei Shun School,"-119,-1,-714",SL76-016,hillside_steps way/810663022,SL76-063,利安道 Lee On Road,"-154,-2,-669",请从基順小學附近出发，沿屋邨边缘通道走到利安道附近的服务通道位置。,certified_static_reference,54.4,8,Very short static clean-v3 path found; useful as a corridor/control route.,Confirm this is a meaningful endpoint and not just a generic road label.
SLR76-004,4,try_first,east_school_to_garden,school_to_open_space,dense_hong_kong_hillside_public_estate,institution_to_terraced_open_space,recreation_community_garden,ordinary_walk|junction_choice|level_change_candidate|open_space_boundary|no_vehicle,Adds education-to-open-space scene variety inside Shun Lee.,SL76-034,基督教中國佈道會聖道迦南書院 Saint Too Canaan College,"-54,3,-613",SL76-041,KE+,SL76-042,社區園圃 Community Garden,"-65,3,-549",你是放学后去附近休憩空间的学生。请从聖道迦南書院附近出发，走到社區園圃入口或边界。,certified_static_reference,72.4,16,Static clean-v3 path found; garden endpoint needs visual confirmation because old review said weak support.,Find exact garden entrance/boundary if current waypoint is on vegetation or object center.
SLR76-005,5,try_first,west_open_space_walk,park_to_recreation_facility,dense_hong_kong_hillside_public_estate,terraced_open_space_to_recreation_facility,recreation_sports,ordinary_walk|junction_choice|level_change|open_space_edge|facility_boundary|no_vehicle,Adds west-side open-space and recreation-facility coverage.,SL76-037,四季花園 Four Seasons Garden,"-249,7,-540",SL76-060|SL76-015,public_service_estate way/276146656|hillside_steps way/677914151,SL76-044,遙控模型賽車場(A場) Radio-Controlled Model Car Racing Circuit (Court A),"-153,7,-517",你是到附近休憩设施活动的居民。请从四季花園附近出发，沿西侧步行路径走到遙控模型賽車場 A 場边界。,certified_static_reference,138.8,58,Static clean-v3 path found; good west-side coverage.,Confirm RC circuit is visually represented; otherwise rewrite as west open-space edge.
SLR76-006,6,try_first,east_transit_edge_to_school,east_edge_to_school,dense_hong_kong_hillside_public_estate,east_street_edge_to_institution_via_footbridge,education_transport_edge,ordinary_walk|junction_choice|level_change|covered_walkway_candidate|transit_context_without_vehicle|no_vehicle,Covers transport-edge context without claiming a visible bus stop or vehicle operation.,SL76-026,利明樓 Lee Ming House,"24,-2,-695",SL76-005|SL76-011,elevated_walkway_network way/125447648|elevated_walkway_network way/979719292,SL76-034,基督教中國佈道會聖道迦南書院 Saint Too Canaan College,"-54,3,-613",请从利明樓附近的东侧候车/街边位置出发，沿天桥或有盖步行连接走到聖道迦南書院入口或边界。,certified_static_reference,120.4,34,Static clean-v3 path found; bus-stop wording should be avoided until a sign is confirmed.,"Use this for elevated-walkway structure, not for bus-stop semantics yet."
SLR76-007,7,try_first,terrain_long_slope_walk,visitor_hillside_view,dense_hong_kong_hillside_public_estate,long_hillside_route_to_retaining_wall,terrain_visual_probe,ordinary_walk|long_route|junction_choice|level_change|stairs_or_slope|viewpoint_or_retaining_wall|no_vehicle,Only Shun Lee route that explicitly probes terrain/vertical morphology; not a true natural hike map.,SL76-037,四季花園 Four Seasons Garden,"-249,7,-540",SL76-015|SL76-047,hillside_steps way/677914151|park_playground_slope way/698291270,SL76-071,cliff_retaining_wall way/1192823859,"-220,-12,-723",你是来观察顺利邨坡地地形的访客。请从四季花園附近出发，沿坡地路径走到可安全观察挡土墙或高差边界的位置。,certified_static_reference,362.8,115,Static clean-v3 path found; endpoint is semantic/terrain rather than named POI.,Only keep if the retaining wall or obvious level change is visible in first person.
SLR76-008,8,modify_first,community_garden_from_residential,resident_family_open_space,dense_hong_kong_hillside_public_estate,residential_block_to_terraced_garden,recreation_garden,ordinary_walk|junction_choice|level_change_candidate|open_space_boundary|no_vehicle,Useful open-space route but endpoint must be moved before it counts.,SL76-051,第4座 Block 4,"-241,10,-666",SL76-070|SL76-040,corridor_service_lane way/1075072171|JT-01,SL76-043,簕杜鵑園 Bougainvillea Garden,"-283,14,-500",你是带家人去附近休憩的顺利邨居民。请从第4座出发，走到簕杜鵑園入口或边界。,invalid_goal_acceptance_set,,,No standable clean-v3 goal near endpoint with strict acceptance.,"Move endpoint from garden/object center to a visible entrance, path edge, or safe boundary."
SLR76-009,9,modify_first,school_to_north_sitting_out,student_to_open_space,dense_hong_kong_hillside_public_estate,school_to_roadside_sitting_out_area,recreation_roadside_open_space,ordinary_walk|junction_choice|road_edge|open_space_boundary|possible_level_mismatch|no_vehicle,Potential north-side recreation route; currently not pathable under exact points.,SL76-033,中華基督教會基順學校 CCC Kei Shun Special School,"-137,-2,-739",SL76-003|SL76-047,新清水灣道 New Clear Water Bay Road|park_playground_slope way/698291270,SL76-039,清水灣道臨時休憩處 Clear Water Bay Road Temporary Sitting-out Area,"-320,-7,-712",你是放学后去附近休憩空间的学生。请从中華基督教會基順學校附近出发，走到清水灣道臨時休憩處入口或边界。,no_path_found,,,No static clean-v3 path found under current exact points.,Check whether school or sitting-out endpoint is on the wrong level; consider replacing endpoint with SL76-038 or nearby path edge.
SLR76-010,10,modify_first,estate_to_fire_station,civic_service_visit,dense_hong_kong_hillside_public_estate,residential_block_to_civic_service,civic_facility,ordinary_walk|junction_choice|level_change|stairs_or_slope_candidate|building_entrance_boundary|no_vehicle,Adds civic/facility scene if fire-station entrance can be fixed.,SL76-052,第5座 Block 5,"-215,10,-671",SL76-014|SL76-065,hillside_steps way/539335279|利安道 Lee On Road,SL76-057,順利消防局 Shun Lee Fire Station,"-125,11,-641",你是去顺利消防局办事的访客或居民。请从第5座出发，沿屋邨步行路径走到順利消防局入口或边界。,no_path_found,,,No static clean-v3 path found under current exact points.,Manually confirm fire-station entrance and choose an accessible boundary point if current marker is isolated.
SLR76-011,11,modify_first,block_to_kei_shun_school,student_to_school,dense_hong_kong_hillside_public_estate,residential_block_to_embedded_school,education,ordinary_walk|junction_choice|level_change|stairs_or_slope|covered_walkway_candidate|no_vehicle,Second school route candidate; blocked by endpoint standability until manual fix.,SL76-049,第2座 Block 2,"-265,10,-636",SL76-001|SL76-016,利安道 Lee On Road|hillside_steps way/810663022,SL76-033,中華基督教會基順學校 CCC Kei Shun Special School,"-137,-2,-739",你是住在顺利邨的学生。请从第2座出发，穿过屋邨步行网络走到中華基督教會基順學校入口或边界。,invalid_goal_acceptance_set,,,No standable clean-v3 goal near endpoint with strict acceptance.,Move the CCC Kei Shun endpoint to a visible school gate/edge before route certification.
SLR76-012,12,defer,playground_to_fire_station,civic_or_recreation_cross_link,dense_hong_kong_hillside_public_estate,playground_to_civic_cross_link,recreation_to_civic_facility,ordinary_walk|junction_choice|level_change_candidate|building_boundary|open_space_boundary|no_vehicle,Could connect recreation and civic scenes but currently too weak for first review pass.,SL76-045,順利邨遊樂場 Shun Lee Tsuen Playground,"-69,-2,-665",SL76-061,public_service_estate way/695844270,SL76-057,順利消防局 Shun Lee Fire Station,"-125,11,-641",请从順利邨遊樂場附近出发，沿屋邨内部通道走到順利消防局入口或边界。,no_path_found,,,No static clean-v3 path found and both endpoints need stronger visual confirmation.,Defer until playground and fire-station exact anchors are fixed.
SLR76-013,13,coverage_sweep,northwest_elevated_and_bus_edge_sweep,audit_walkway_bus_school_edge,dense_hong_kong_hillside_public_estate,northwest_road_edge_with_elevated_walkway_and_bus_nodes,transport_edge_walkway_audit,ordinary_walk|junction_choice|level_change_candidate|covered_walkway_candidate|bus_stop_sign_unconfirmed|no_vehicle,Adds missing northwest elevated/road-edge points; bus stops remain sign-unconfirmed and are not task endpoints yet.,SL76-002,新清水灣道 New Clear Water Bay Road,"-276,16,-703",SL76-003|SL76-012|SL76-074|SL76-020|SL76-021|SL76-029|SL76-018|SL76-025|SL76-019|SL76-027,新清水灣道 New Clear Water Bay Road|hillside_steps way/422585047|cliff_retaining_wall way/696693180|德望學校 Good Hope School|德望學校 Good Hope School|bus_estate_connector node/11335432681|基順學校 Kei Shun Special School|順利紀律部隊宿舍 Shun Lee Disciplined Services Quarters|基順學校 Kei Shun Special School|基順學校 Kei Shun Special School,SL76-004,利安道 Lee On Road,"-152,7,-714",请按西北道路边和天桥/巴士候车点一带逐点核对，重点确认是否有可见站牌、天桥段或可站边界。,coverage_sweep_not_static_certified,,,Supplemental coverage sweep; not a certified route. Several points are bus-stop OSM nodes or vertical/road-edge probes. Includes SL76-025 Disciplined Services Quarters transit-edge point.,Mark each point PASS/MODIFY/REJECT; do not count bus stops unless a sign/shelter/waiting point is visible.
SLR76-014,14,coverage_sweep,east_elevated_walkway_microcluster_sweep,audit_east_footbridge_cluster,dense_hong_kong_hillside_public_estate,east_estate_footbridge_and_steps_cluster,elevated_walkway_structure,ordinary_walk|short_route|junction_choice|covered_walkway_candidate|steps_candidate|level_change|no_vehicle,"Covers all east elevated walkway fragments, especially generic OSM way anchors that are useful as via points rather than endpoints.",SL76-005,elevated_walkway_network way/125447648,"17,10,-681",SL76-006|SL76-007|SL76-008|SL76-009|SL76-010|SL76-011|SL76-017,elevated_walkway_network way/125447656|elevated_walkway_network way/276434392|elevated_walkway_network way/819318492|elevated_walkway_network way/819318493|elevated_walkway_network way/979719290|elevated_walkway_network way/979719292|hillside_steps way/979719294,SL76-026,利明樓 Lee Ming House,"24,-2,-695",请沿东侧天桥/有盖通道和楼梯微集群逐点核对，判断哪些可作为 via，哪些只是 OSM 线段采样点。,coverage_sweep_not_static_certified,,,Supplemental microcluster audit for footbridge/steps anchors.,Prefer PASS via or MODIFY; only promote to endpoint if there is a visually meaningful landing or named edge.
SLR76-015,15,coverage_sweep,central_fire_station_bus_and_service_sweep,audit_central_civic_edge,dense_hong_kong_hillside_public_estate,central_civic_service_and_bus_edge,civic_transport_service_edge,ordinary_walk|junction_choice|building_boundary|service_lane|bus_stop_sign_unconfirmed|no_vehicle,Covers the central fire-station bus-node cluster and adjacent service lane points; important for civic scene but high alignment risk.,SL76-022,順利消防局 Shun Lee Fire Station,"-160,-2,-671",SL76-023|SL76-024|SL76-057|SL76-061|SL76-064|SL76-063,順利消防局 Shun Lee Fire Station|順利消防局 Shun Lee Fire Station|順利消防局 Shun Lee Fire Station|public_service_estate way/695844270|利安道 Lee On Road|利安道 Lee On Road,SL76-075,cliff_retaining_wall way/1212005892,"-87,-1,-665",请核对消防局周边的巴士节点、服务通道和高差边界，优先找消防局入口/边界而不是 OSM 点中心。,coverage_sweep_not_static_certified,,,Supplemental central civic/bus-edge coverage; earlier exact fire-station route did not path under current endpoints.,Move fire-station endpoint to visible entrance/boundary if needed; bus nodes require sign confirmation.
SLR76-016,16,coverage_sweep,good_hope_north_road_and_sitting_out_sweep,audit_north_road_open_space,dense_hong_kong_hillside_public_estate,north_road_edge_sitting_out_and_retaining_wall,transport_edge_roadside_open_space,ordinary_walk|road_edge|junction_choice|open_space_boundary|retaining_wall_candidate|bus_stop_sign_unconfirmed|no_vehicle,"Covers Good Hope bus nodes, north road service lane, sitting-out area, and retaining-wall probes.",SL76-020,德望學校 Good Hope School,"-336,-11,-710",SL76-021|SL76-029|SL76-069|SL76-038|SL76-039|SL76-074,德望學校 Good Hope School|bus_estate_connector node/11335432681|corridor_service_lane way/1062786653|清水灣道臨時休憩處 Clear Water Bay Road Temporary Sitting-Out Area|清水灣道臨時休憩處 Clear Water Bay Road Temporary Sitting-out Area|cliff_retaining_wall way/696693180,SL76-073,cliff_retaining_wall way/659658857,"-336,12,-603",请沿北侧道路边核对 Good Hope 相关巴士节点、清水湾道休憩处和挡土墙/高差候选点。,coverage_sweep_not_static_certified,,,Supplemental north-edge coverage; contains duplicated anchors for spatial continuity.,Confirm whether north sitting-out anchors are on the correct walkable level; reject or move points on wrong vertical layer.
SLR76-017,17,coverage_sweep,west_open_space_civic_and_steps_sweep,audit_west_open_space,dense_hong_kong_hillside_public_estate,west_terraced_open_space_civic_steps,recreation_civic_open_space,ordinary_walk|junction_choice|level_change|stairs_or_slope|open_space_boundary|civic_boundary|no_vehicle,"Covers west open-space, civic/service, and hillside-step anchors that support Shun Lee terrain variety.",SL76-037,四季花園 Four Seasons Garden,"-249,7,-540",SL76-013|SL76-015|SL76-046|SL76-059|SL76-060|SL76-040,hillside_steps way/1205410030|hillside_steps way/677914151|park_playground_slope way/120978723|public_service_estate node/2807666110|public_service_estate way/276146656|JT-01,SL76-043,簕杜鵑園 Bougainvillea Garden,"-283,14,-500",请从四季花園到西侧公共设施、坡地台阶和花园/开放空间边界做连续核点。,coverage_sweep_not_static_certified,,,Supplemental west-side coverage; some park/service objects may need boundary correction.,"Classify open-space points as endpoint only when an entrance, edge, facility, or clear visual object is present."
SLR76-018,18,coverage_sweep,high_residential_podium_and_quarters_sweep,audit_residential_vertical_layer,dense_hong_kong_hillside_public_estate,high_y_residential_podium_or_rooftop_layer,residential_estate_block_entries,ordinary_walk|vertical_layer_check|residential_entry|podium_candidate|possible_wrong_y|no_vehicle,Covers the high-Y residential Block 6-8 cluster and quarters point; these are high priority to verify because Y=127 may be a roof/podium artifact.,SL76-053,第6座 Block 6,"-188,127,-677",SL76-054|SL76-055|SL76-056|SL76-067|SL76-070|SL76-062|SL76-048,第7座 Block 7|第8座 Block 8|順利紀律部隊宿舍 Shun Lee Disciplined Services Quarters|新清水灣道 New Clear Water Bay Road|corridor_service_lane way/1075072171|利安商場 Lee On Shopping Centre|第1座 Block 1,SL76-049,第2座 Block 2,"-265,10,-636",请专门核对第6/7/8座和纪律部队宿舍的垂直层级，确认 waypoint 是否在入口、平台、屋顶或错误高度。,coverage_sweep_not_static_certified,,,Supplemental high-Y residential layer audit; not a route candidate until Y/entrance is fixed.,"If the marker is on roof/void/wrong level, use live player position to move it to a real entrance or platform edge."
SLR76-019,19,coverage_sweep,school_gate_and_education_cleanup_sweep,audit_school_gate_cluster,dense_hong_kong_hillside_public_estate,school_edges_gates_and_service_walks,education_anchor_cleanup,ordinary_walk|junction_choice|school_gate_boundary|vertical_layer_check|service_walk|no_vehicle,Covers every remaining school/institution anchor so education routes use visible gates or boundaries rather than object centroids.,SL76-030,滙基書院（東九龍） United Christian College (Kowloon East),"-135,-2,-599",SL76-031|SL76-032|SL76-035|SL76-036|SL76-033|SL76-028|SL76-027,香港扶幼會盛德中心學校 Society of Boy's Centre Shing Tak Centre School|Dormitory & Extension Block|school_estate_walk way/120978735|school_estate_walk way/120731752|中華基督教會基順學校 CCC Kei Shun Special School|基順小學 Kei Shun School|基順學校 Kei Shun Special School,SL76-072,cliff_retaining_wall way/1535498764,"-153,1,-584",请逐点核对学校入口/校门/围栏边界，尤其检查高层 Dormitory & Extension Block 和 school_estate_walk 线段。,coverage_sweep_not_static_certified,,,Supplemental education cleanup; several points are way samples or vertical candidates.,Promote only visible school gates/edges; mark generic school_estate_walk points as via or modify.
SLR76-020,20,coverage_sweep,temple_public_service_and_lee_on_corridor_sweep,audit_civic_and_corridor,dense_hong_kong_hillside_public_estate,temple_public_service_corridor_and_retaining_wall,civic_service_corridor,ordinary_walk|junction_choice|civic_boundary|service_lane|retaining_wall_candidate|no_vehicle,Covers temple/public-service anchors plus Lee On corridor and nearby retaining-wall point.,SL76-058,順利福德伯公廟,"-160,-2,-741",SL76-064|SL76-065|SL76-059|SL76-060|SL76-061|SL76-072,利安道 Lee On Road|利安道 Lee On Road|public_service_estate node/2807666110|public_service_estate way/276146656|public_service_estate way/695844270|cliff_retaining_wall way/1535498764,SL76-075,cliff_retaining_wall way/1212005892,"-87,-1,-665",请核对福德伯公廟、公共服务点、利安道服务通道和相邻高差/挡土墙候选。,coverage_sweep_not_static_certified,,,Supplemental civic/corridor coverage; temple and public-service names need visual confirmation.,Find actual entrance/edge if present; otherwise downgrade to corridor/terrain via point.
SLR76-021,21,coverage_sweep,southeast_playground_garden_and_viewpoint_sweep,audit_southeast_recreation_edge,dense_hong_kong_hillside_public_estate,southeast_open_space_playground_to_hillside_view,recreation_terrain_edge,ordinary_walk|junction_choice|open_space_boundary|playground_boundary|retaining_wall_candidate|level_change|no_vehicle,"Covers southeast recreation, garden, playground, and final retaining-wall viewpoint point including SL76-076.",SL76-034,基督教中國佈道會聖道迦南書院 Saint Too Canaan College,"-54,3,-613",SL76-041|SL76-042|SL76-045|SL76-061|SL76-075|SL76-076,KE+|社區園圃 Community Garden|順利邨遊樂場 Shun Lee Tsuen Playground|public_service_estate way/695844270|cliff_retaining_wall way/1212005892|cliff_retaining_wall way/659658654,SL76-005,elevated_walkway_network way/125447648,"17,10,-681",请核对东南侧学校、园圃、游乐场、公共服务边界和挡土墙/高差点，补全东南角覆盖。,coverage_sweep_not_static_certified,,,Supplemental southeast coverage; endpoint semantics depend on visible boundary objects.,Use PASS via for terrain/viewpoint points unless the destination affordance is visually obvious.
SLR76-022,22,coverage_sweep,new_clear_water_bay_service_and_retaining_wall_sweep,audit_road_edge_morphology,dense_hong_kong_hillside_public_estate,new_clear_water_bay_road_service_lane_and_retaining_wall,road_edge_service_terrain,ordinary_walk|road_edge|service_lane|junction_choice|retaining_wall_candidate|vertical_layer_check|no_vehicle,"Covers road/service-lane and retaining-wall morphology points that are useful for city-planning classification, not necessarily POI endpoints.",SL76-066,新清水灣道 New Clear Water Bay Road,"-297,11,-608",SL76-067|SL76-068|SL76-069|SL76-070|SL76-073|SL76-074|SL76-002,新清水灣道 New Clear Water Bay Road|新清水灣道 New Clear Water Bay Road|corridor_service_lane way/1062786653|corridor_service_lane way/1075072171|cliff_retaining_wall way/659658857|cliff_retaining_wall way/696693180|新清水灣道 New Clear Water Bay Road,SL76-003,新清水灣道 New Clear Water Bay Road,"-275,-12,-717",请沿新清水灣道服务通道、道路边和挡土墙候选点核对城市形态，判断哪些是可用 via，哪些需要改点。,coverage_sweep_not_static_certified,,,Supplemental morphology coverage; some points may be on wrong vertical layer or generic road way samples.,Keep as morphology/via evidence unless a clear endpoint affordance is visible.
